,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
320,F29734,5438.0,E,1.0,2019-10-02 09:27:05,2019-10-02,2019-09-27 00:00:00,2019-11-01,,14495.000000000002,0.0,0
321,F29735,5418.0,E,2.0,2019-10-02 09:36:28,2019-10-02,2019-10-02 00:00:00,2019-10-02,,1014.82,0.0,0
322,F29736,2385.0,E,4.0,2019-10-02 09:45:58,2019-10-02,2019-10-02 00:00:00,2019-11-01,,23266.250000000004,0.0,0
323,F29737,1965.0,E,2.0,2019-10-02 09:57:08,2019-10-02,2019-10-02 00:00:00,2019-10-17,,976.5000000000001,146.48,0
324,F29738,3846.0,E,3.0,2019-10-02 10:05:15,2019-10-02,2019-09-30 00:00:00,2019-11-01,,15085.300000000003,0.0,0
325,F29739,6760.0,E,2.0,2019-10-02 10:16:03,2019-10-02,2019-10-02 00:00:00,2019-10-02,,1164.5271,0.0,0
326,F29740,4486.0,E,2.0,2019-10-02 10:46:38,2019-10-02,2019-10-02 00:00:00,2019-10-02,,2088.0,0.0,0
327,F29741,6862.0,E,2.0,2019-10-02 10:55:24,2019-10-02,2019-10-02 00:00:00,2019-10-02,,224.13600000000002,0.0,0
328,F29742,3108.0,E,2.0,2019-10-02 11:36:29,2019-10-02,2019-10-02 00:00:00,2019-10-02,,225.00000000000003,0.0,0
329,F29743,4631.0,E,2.0,2019-10-02 11:51:03,2019-10-02,2019-10-02 00:00:00,2019-11-01,,1623.0000000000002,243.45000000000005,0
330,F29744,6278.0,E,2.0,2019-10-02 13:20:01,2019-10-02,2019-09-09 00:00:00,2019-10-02,,682.7600000000001,0.0,0
331,F29745,5037.0,E,2.0,2019-10-02 13:25:57,2019-10-02,2019-10-02 00:00:00,2019-10-02,,948.5400000000001,0.0,0
332,F29746,5258.0,E,2.0,2019-10-02 16:44:30,2019-10-02,2019-10-02 00:00:00,2019-10-02,,270.1,0.0,0
333,F29747,5902.0,E,2.0,2019-10-02 17:35:40,2019-10-02,2019-10-02 00:00:00,2019-10-02,,237.93240000000003,0.0,0
334,F29748,3655.0,E,2.0,2019-10-02 17:48:37,2019-10-02,2019-10-02 00:00:00,2019-10-02,,258.62,0.0,0
335,F29749,3655.0,E,2.0,2019-10-02 17:50:47,2019-10-02,2019-09-17 00:00:00,2019-10-02,,5420.320000000001,0.0,0
336,F29750,6.0,E,2.0,2019-10-02 17:59:56,2019-10-02,2019-10-02 00:00:00,2019-10-17,,2655.0,0.0,0
337,F29751,6720.0,C,,2019-10-02 18:10:06,2019-10-02,2019-10-02 00:00:00,2019-10-10,2019-10-02,60000.00000000001,0.0,0
338,F29752,5926.0,E,2.0,2019-10-02 18:15:05,2019-10-02,2019-10-02 00:00:00,2019-10-02,,623.73,0.0,0
339,F29753,6720.0,E,,2019-10-02 18:20:51,2019-10-02,2019-10-02 00:00:00,2019-10-10,,60000.00000000001,0.0,0
